title,authors,editors,translator,date,rating,re-read,pages,non-fiction,comic,published
Retromania: Pop Culture's Addiction to its Own Past,Simon Reynolds,,,2011-06-01,+,,496,TRUE,,2011
Do Androids Dream of Electric Sheep?,Philip K. Dick,,,2011-07-01,+,,224,,,1968
Oishinbo à la Carte - Japanese Cuisine,Tetsu Kariya,,,2011-07-01,,,272,,TRUE,2009
Lightborn,Tricia Sullivan,,,2011-07-01,+,,464,,,2010
The Wild Girls,Ursula K. Le Guin,,,2011-07-01,+,,128,,,2002
Shadow & Claw,Gene Wolfe,,,2011-08-01,+,,413,,,1982
Tom Strong: Book 5,Brian K. Vaughan,,,2011-08-01,,,130,,TRUE,2000
All-Star Superman,Grant Morrison,,,2011-08-01,+,TRUE,304,,TRUE,2006
Sword & Citadel,Gene Wolfe,,,2011-08-01,+,,411,,,1982
Tom Strong and the Robots of Doom,"Peter Hogan,Chris Sprouse",,,2011-09-01,,,144,,TRUE,2011
"Buddha, Volume 3: Devadatta",Osamu Tezuka,,,2011-09-01,+,,336,,TRUE,1976
Westwood,Stella Gibbons,,,2011-09-01,+,,464,,,1946
Elliot Allagash,Simon Rich,,,2011-09-01,,,240,,,2010
Claudius the God,Robert Graves,,,2011-10-01,+,,448,,,1934
A Visit from the Goon Squad,Jennifer Egan,,,2011-10-01,,,368,,,2010
Tabletop: Analog Game Design,Greg Costikyan,,,2011-09-01,,,208,TRUE,,2011
The Thousand Autumns of Jacob de Zoet,David Mitchell,,,2011-10-01,+,,560,,,2010
"Fables, Vol. 2: Animal Farm",Bill Willingham,,,2011-10-01,,,128,,TRUE,2003
"Fables, Vol. 3: Storybook Love",Bill Willingham,,,2011-10-01,,,190,,TRUE,2004
"Fables, Vol. 4: March of the Wooden Soldiers",Bill Willingham,,,2011-10-01,,,240,,TRUE,2004
"Fables, Vol. 5: The Mean Seasons",Bill Willingham,,,2011-11-01,,,168,,TRUE,2005
"Fables, Vol. 6: Homelands",Bill Willingham,,,2011-11-01,,,192,,TRUE,2006
Fables: 1001 Nights of Snowfall,Bill Willingham,,,2011-11-01,,,144,,TRUE,2006
Snake and Bacon's Cartoon Cabaret,Michael Kupperman,,,2011-11-01,,,132,,TRUE,2000
Ready Player One,Ernest Cline,,,2011-12-01,,,384,,,2011
Zoo City,Lauren Beukes,,,2011-12-01,,,384,,,2010
Howl's Moving Castle,Diana Wynne Jones,,,2012-01-01,+,,304,,,1986
How to Be a Woman,Caitlin Moran,,,2012-01-01,+,,320,TRUE,,2011
Supergods,Grant Morrison,,,2012-02-01,,,464,TRUE,,2011
Persepolis,Marjane Satrapi,,,2012-02-01,+,,352,TRUE,TRUE,2000
Now Wait for Last Year,Philip K. Dick,,,2012-02-01,,,224,,,1966
Rip It Up and Start Again,Simon Reynolds,,,2012-02-01,,,608,,,2006
Think Stats,Allen B. Downey,,,2012-03-01,,,226,TRUE,,2011
The Hunger Games,Suzanne Collins,,,2012-03-01,,,464,,,2008
Catching Fire,Suzanne Collins,,,2012-03-01,,,480,,,2009
The Lovecraft Anthology: Volume 2,Various,Dan Lockwood,,2012-03-01,,,128,,TRUE,2012
Mockingjay,Suzanne Collins,,,2012-03-01,,,448,,,2010
Skippy Dies,Paul Murray,,,2012-04-01,-,,,,,2010
Space Opera,Various,Brian W. Aldiss,,2012-04-01,,,328,,,1974
Solaris Rising: The New Solaris Book of Science Fiction,Various,Ian Whates,,2012-04-01,,,384,,,2011
The Stars My Destination,Alfred Bester,,,2012-04-01,+,,256,,,1957
"Fables, Vol. 7: Arabian Nights",Bill Willingham,,,2012-05-01,,,144,,TRUE,2006
"Fables, Vol. 9: Sons of Empire",Bill Willingham,,,2012-05-01,,,144,,TRUE,2007
"Fables, Vol. 8: Wolves",Bill Willingham,,,2012-05-01,,,160,,TRUE,2006
"Fables, Vol. 10: The Good Prince",Bill Willingham,,,2012-05-01,,,240,,TRUE,2008
"Fables, Vol. 11: War and Pieces",Bill Willingham,,,2012-05-01,,,192,,TRUE,2008
Wolf Hall,Hillary Mantel,,,2012-06-01,++,,688,,,2009
Let's Talk About Love: A Journey to the End of Taste,Carl Wilson,,,2012-06-01,,,176,TRUE,,2008
A Supposedly Fun Thing I'll Never Do Again: Essays and Arguments,David Foster Wallace,,,2012-06-01,+,,368,TRUE,,1997
The Age of Movies: Selected Writings,Pauline Kael,,,2012-06-01,+,,828,TRUE,,1975
Red Mars,Kim Stanley Robinson,,,2012-08-01,,,672,,,1992
Dice Games Properly Explained,Reiner Knizia,,,2012-08-01,,,226,TRUE,,1999
Imperium,Robert Harris,,,2012-08-01,,,496,,,2006
Store of the Worlds: The Stories of Robert Sheckley,Robert Sheckley,,,2012-08-01,+,,416,,,1968
Double Nickels on the Dime,Michael T. Fournier,,,2012-08-01,,,120,TRUE,,2007
The League of Extraordinary Gentlemen: Century 2009,Alan Moore,,,2012-09-01,,,80,,TRUE,2011
London's Overthrow,China Miéville,,,2012-10-01,,,96,TRUE,,2012
Litany of the Long Sun,Gene Wolfe,,,2012-10-01,,,544,,,1993
Building Stories,Chris Ware,,,2012-10-01,+,,246,,TRUE,2012
Insurrection: The War Against the Judges Has Begun,Dan Abnett,,,2012-11-01,,,128,,TRUE,2011
The A. B. C. Warriors: The Black Hole,"Pat Mills,Simon Bisley",,,2012-11-01,,,160,,TRUE,1988
The Compass Rose,Ursula K. Le Guin,,,2013-01-01,,,368,,,1982
The Iliad,Homer,,Robert Fagles,2013-01-01,,,528,,,-800
Lustrum,Robert Harris,,,2013-01-01,,,454,,,2009
Ubik,Philip K. Dick,,,2013-09-07,+,TRUE,224,,,1969
Underground Maps Unraveled,Maxwell J Roberts,,,2013-02-01,+,,224,TRUE,,2012
On Fairy-Stories,J. R. R. Tolkien,,,2013-02-01,,,320,TRUE,,1947
"Picturing the Uncertain World: How to Understand, Communicate, and Control Uncertainty Through Graphical Display",Howard Wainer,,,2013-03-01,,,264,TRUE,,2011
Bring Up the Bodies,Hillary Mantel,,,2013-04-01,+,,432,,,2012
The Third Policeman,Flann O'Brien,,,2013-05-01,,,240,,,1967
The Secret History of Science Fiction,James Patrick Kelly,James Patrick Kelly,,2013-03-01,,,380,,,2009
The League of Extraordinary Gentlemen: Century 1910,Alan Moore,,,2009-05-01,,,80,,TRUE,2009
The League of Extraordinary Gentlemen: Century 1969,Alan Moore,,,2011-07-01,,,80,,TRUE,2010
Xed,Charles Burns,,,2011-09-01,,,56,,TRUE,2010
The Hive,Charles Burns,,,2012-12-01,,,80,,TRUE,2012
Pure,Andrew Miller,,,2012-12-01,+,,352,,,2011
Superman: Whatever Happened to the Man of Tomorrow?,Alan Moore,,,2012-11-01,,,128,,TRUE,1986
Microscope,Ben Robbins,,,2012-08-01,,,,TRUE,,2011
"MP3: The Meaning of a Format (Sign, Storage, Transmission) ",Jonathan Sterne,,,2013-06-14,,,360,TRUE,,2012
The Odyssey,Homer,,Robert Fagles,2014-02-03,,,560,,,-800
Telegraph Avenue,Michael Chabon,,,2013-08-11,,,640,,,2012
Fables Vol 12: The Dark Ages,"Peter Gross,Mark Buckingham,David Hahn,Mike Allred,Bill Willingham",,,2013-06-03,,,192,,TRUE,2009
Fables Vol 13: The Great Fables Crossover,"Bill Willingham,Matthew Sturges,Mark Buckingham",,,2013-06-05,,,224,,TRUE,2010
Cinderella: From Fabletown with Love,"Chris Roberson,Shawn McManus",,,2013-06-06,,,144,,TRUE,2009
Fables Vol. 14: Witches,"Bill Willingham,Mark Buckingham",,,2013-06-08,,,192,,TRUE,2010
Fables Vol. 15: Rose Red,"Bill Willingham,Mark Buckingham",,,2013-06-14,,,256,,TRUE,2011
"Secret Avengers, Vol. 3: Run the Mission, Don't Get Seen, Save the World","Warren Ellis,Jamie McKelvie,Kevin Walker,David Aja,Michael Lark,Alex Maleev,Stuart Immonen",,,2013-06-16,,,144,,TRUE,2012
Cinderella: Fables Are Forever,"Chris Roberson,Shawn McManus",,,2013-06-17,,,160,,TRUE,2011
Fables Vol. 16: Super Team,"Bill Willingham,Mark Buckingham",,,2013-06-15,,,144,,TRUE,2012
Fables Vol. 17: Inherit the Wind,"Bill Willingham,Mark Buckingham",,,2013-06-22,,,144,,TRUE,2012
Fables vol. 18: Cubs In Toyland,"Bill Willingham,Mark Buckingham",,,2013-06-23,,,192,,TRUE,2013
On The Map,Simon Garfield,,,2013-07-07,,,464,,,2012
Gone Girl,Gillian Flynn,,,2013-07-12,,,512,,,2012
Understanding Comics,Scott McCloud,,,2013-09-15,,TRUE,224,TRUE,TRUE,1993
Journey Into Mystery: Fear Itself,"Kieron Gillen,Doug Braithwaite",,,2013-09-18,,,136,,,2009
Railsea,China Miéville,,,2013-09-28,+,,384,,,2012
Thinking Fast and Slow,Daniel Kahneman,,,2013-10-24,+,,512,,,2011
A Hologram For The King,Dave Eggers,,,2013-10-29,,,336,,,2013
Lighter Than My Shadow,Katie Green,,,2013-10-30,,,516,TRUE,TRUE,2013
NW,Zadie Smith,,,2013-11-06,+,,352,,,2012
Cheek by Jowl,Ursula K. Le Guin,,,2013-12-01,+,,149,TRUE,,2009
Light,M John Harrison,,,2013-12-07,,,352,,,2002
The Complete Don Quixote,"Rob Davis,Miguel de Cervantes",,,2013-12-15,,,296,,,2011
Conversations with Ursula K. Le Guin (Literary Conversations),Ursula K. Le Guin,,,2013-12-30,,,224,TRUE,,2008
The New Atlantis and Other Novellas of Science Fiction,"Ursula K. Le Guin,Gene Wolfe,James Tiptree Jr",Robert Silverberg,,2014-01-13,,,182,,,1975
Hangover Square,Patrick Hamilton,,,2013-12-25,+,,288,,,1941
The Song Of Achilles,Madeline Miller,,,2014-01-04,,,368,,,2011
How I Live Now,Meg Rosoff,,,2014-01-06,+,,224,,,2004
Orlando,Virginia Woolf,,,2014-01-29,,,288,,,1928
"Oishinbo: à la Carte, Vol. 3: Ramen and Gyoza","Tetsu Kariya,Akira Hanasaki",,,2014-02-01,,,272,,TRUE,2009
Middlemarch,George Eliot,,,2014-03-26,++,,736,,,1874
The Eagle of the Ninth,Rosemary Sutcliffe,,,2014-04-09,,,256,,,1954
The Language of the Night. Essays on fantasy and science fiction,Ursula K. Le Guin,Susan Wood,,2014-05-01,,,262,TRUE,,1979
The Gathering Night,Margaret Elphinstone,,,2014-05-27,+,,384,,,2009
The Bees,Laline Paull,,,2014-06-22,,,352,,,2014
Special Topics in Calamity Physics,Marisha Pessl,,,2014-08-05,,,528,,,2006
A Sting In The Tale,Dave Goulson,,,2014-08-07,,,288,TRUE,,2013
Making Comics,Scott McCloud,,,2014-08-08,,,272,TRUE,TRUE,2006
Memorial,Alice Oswald,,,2014-08-09,+,,96,,,2011
84 Charing Cross Road,Helene Hanff,,,2014-08-13,,,240,TRUE,,1970
Three,"Kieron Gillen,Ryan Kelly,Jordie Bellaire",,,2014-08-14,,,146,,TRUE,2014
Nemo Heart of Ice,"Alan Moore,Kevin O'Neil",,,2014-08-15,,,56,,TRUE,2013
Nemo Roses of Berlin,"Alan Moore,Kevin O'Neil",,,2014-08-16,,,56,,TRUE,2014
The Diary of Adrian Mole aged 13 3/4,Sue Townsend,,,2014-08-24,+,,272,,,1982
Ammonite,Nicola Griffith,,,2014-09-18,,,416,,,1992
Augustus,John Williams,,,2014-11-10,,,352,,,1972
Stranger Things Happen,Kelly Link,,,2014-12-12,,,266,,,2001
Cranford,Elizabeth Gaskell,,,2015-01-06,+,,192,,,1851
Stories of Your Life and Others,Ted Chiang,,,2015-01-18,,,352,,,2002
The Lifecycle of Software Objects,Ted Chiang,,,2015-01-18,,,150,,,2010
The Thing Around Your Neck,Chimamanda Ngozi Adichie,,,2015-01-23,+,,300,,,2009
In Other Worlds: SF and the Human Imagination,Margaret Atwood,,,2015-02-04,,,272,TRUE,,2011
Flame Alphabet,Ben Marcus,,,2015-02-14,,,304,,,2012
Saga,"Fiona Staples,Brian K. Vaughan",,,2015-02-20,,,504,,TRUE,2014
Sugar Skull,Charles Burns,,,2015-02-21,,,80,,TRUE,2014
The Love Affairs Of Nathaniel P,Adelle Waldman,,,2015-03-05,+,,272,,,2014
Get In Trouble,Kelly Link,,,2015-04-08,+,,352,,,2015
Knowledge: A Very Short Introduction,Jennifer Nagel,,,2015-04-09,,,152,TRUE,,2014
Design as Art,Bruno Munari,,,2015-04-10,,,224,TRUE,,1971
Monsterous Affections,Various,"Kelly Link,Gavin Grant",,2015-04-30,+,,480,,,2014
Infinite Jest,David Foster Wallace,,,2015-08-15,+,,1104,,,1996
Ancillary Justice,Ann Leckie,,,2015-08-25,,,432,,,2013
Ancillary Sword,Ann Leckie,,,2015-09-03,,,384,,,2014
The Gospel According To Jesus Christ,José Saramago,,,2015-10-09,,,352,,,1994
Moby Dick,Herman Melville,,,2015-11-25,,,768,,,1851
Gyo,Junji Ito,,,2015-11-07,,,627,,TRUE,2002
We Should All Be Feminists,Chimamanda Ngozi Adichie,,,2015-11-25,,,64,TRUE,,2014
Utopia Of Rules,David Graeber,,,2015-12-03,,,272,TRUE,,2015
Cat's Cradle,Kurt Vonnegut,,,2015-12-06,+,TRUE,188,,,1963
"God Bless You, Mr. Rosewater",Kurt Vonnegut,,,2015-12-08,,TRUE,150,,,1965
Slaughterhouse 5,Kurt Vonnegut,,,2015-12-12,++,TRUE,145,,,1969
Breakfast of Champions,Kurt Vonnegut,,,2015-12-22,,TRUE,243,,,1973
Americanah,Chimamanda Ngozi Adichie,,,2016-01-06,+,,477,,,2013
Ancillary Mercy,Ann Leckie,,,2016-01-27,,,330,,,2015
Cold Comfort Farm,Stella Gibbons,,,2016-02-01,+,,233,,,1932
Uzumaki,Junji Ito,,,2016-02-01,,,640,,TRUE,1999
A Monster Calls,Patrick Ness,,,2016-02-03,++,,240,,,2011
Rogue Male,Geoffrey Household,,,2016-02-09,,,182,,,1939
Player Piano,Kurt Vonnegut,,,2016-02-15,,TRUE,307,,,1952
The Sirens of Titan,Kurt Vonnegut,,,2016-02-22,,TRUE,307,,,1959
Mother Night,Kurt Vonnegut,,,2016-02-27,+,TRUE,180,,,1961
My Brilliant Friend,Elena Ferrante,,Ann Goldstein,2016-03-03,+,,331,,,2012
The Story of a New Name,Elena Ferrante,,Ann Goldstein,2016-03-12,++,,480,,,2013
Those Who Leave and Those Who Stay,Elena Ferrante,,Ann Goldstein,2016-03-19,,,400,,,2014
The Story of the Lost Child,Elena Ferrante,,Ann Goldstein,2016-04-01,+,,473,,,2015
Slapstick,Kurt Vonnegut,,,2016-04-06,,TRUE,162,,,1976
